Clave,Descripción,XS,S,M,G,XG,2XG
A,Pecho,105.41,109.22,113.03,116.84,121.92,124.46
B,Cadera,97.79,101.6,106.68,111.76,118.11,119.38
C,Largo Talle,81.28,81.28,81.28,81.28,81.28,82.55
D,Largo Manga,67.31,67.31,67.31,67.31,67.31,67.31
